"State","Production_2021","Production_2022","Change"
ALABAMA,39000000,32000000,-7000000
ALASKA,0,0,0
ARIZONA,4818000000,4772000000,-46000000
ARKANSAS,60000000,45000000,-15000000
CALIFORNIA,41861000000,41787000000,-74000000
COLORADO,5275000000,5314000000,39000000
CONNECTICUT,435000000,430000000,-5000000
DELAWARE,52000000,48100000,-3900000
FLORIDA,2170000000,1933000000,-237000000
GEORGIA,1798000000,2028000000,230000000
HAWAII,0,0,0
IDAHO,16412000000,16628000000,216000000
ILLINOIS,1770000000,1714000000,-56000000
INDIANA,4539000000,4413000000,-126000000
IOWA,5538000000,5770000000,232000000
KANSAS,4099000000,4143000000,44000000
KENTUCKY,908000000,926000000,18000000
LOUISIANA,126000000,112000000,-14000000
MAINE,572000000,554000000,-18000000
MARYLAND,876000000,842000000,-34000000
MASSACHUSETTS,195000000,188000000,-7000000
MICHIGAN,11952000000,11740000000,-212000000
MINNESOTA,10538000000,10477000000,-61000000
MISSISSIPPI,106000000,90000000,-16000000
MISSOURI,1010000000,941000000,-69000000
MONTANA,243000000,223000000,-20000000
NEBRASKA,1423000000,1416000000,-7000000
NEVADA,829000000,794000000,-35000000
NEW HAMPSHIRE,227000000,219000000,-8000000
NEW JERSEY,90000000,87000000,-3000000
NEW MEXICO,7804000000,7148000000,-656000000
NEW YORK,15540000000,15660000000,120000000
NORTH CAROLINA,917000000,912000000,-5000000
NORTH DAKOTA,335000000,319000000,-16000000
OHIO,5640000000,5519000000,-121000000
OKLAHOMA,705000000,715000000,10000000
OREGON,2622000000,2636000000,14000000
PENNSYLVANIA,10114000000,9949000000,-165000000
RHODE ISLAND,10100000,10000000,-100000
SOUTH CAROLINA,161000000,161000000,0
SOUTH DAKOTA,3602000000,4161000000,559000000
TENNESSEE,508000000,494000000,-14000000
TEXAS,15599000000,16524000000,925000000
UTAH,2224000000,2169000000,-55000000
VERMONT,2567000000,2554000000,-13000000
VIRGINIA,1471000000,1424000000,-47000000
WASHINGTON,6504000000,6239000000,-265000000
WEST VIRGINIA,75000000,75000000,0
WISCONSIN,31708000000,31882000000,174000000
WYOMING,220300000,239600000,19300000
