"State","Production_2021","Production_2022","Change","Change_percentage"
IOWA,343703000,389996000,46293000,13.468896110886433
ILLINOIS,65211000,68977000,3766000,5.775099293064054
PENNSYLVANIA,427990000,450602000,22612000,5.283301011705881
MINNESOTA,772106000,811544000,39438000,5.107847886171069
VERMONT,143420000,147814000,4394000,3.0637289081020778
SOUTH DAKOTA,518901000,533229000,14328000,2.761220348390155
OHIO,249341000,255334000,5993000,2.403535720158337
NEW JERSEY,60884000,61780000,896000,1.471651008475133
NEW MEXICO,957829000,970738000,12909000,1.3477353473323526
CALIFORNIA,2438397000,2460538000,22141000,0.9080145685874778
WISCONSIN,3492789000,3520083000,27294000,0.7814385581264714
NEW YORK,846161000,843648000,-2513000,-0.29698839818899714
IDAHO,1004673000,989539000,-15134000,-1.506360776093316
ALABAMA,0,0,0,
ARKANSAS,0,0,0,
COLORADO,0,0,0,
CONNECTICUT,0,0,0,
INDIANA,0,0,0,
KANSAS,0,0,0,
KENTUCKY,0,0,0,
LOUISIANA,0,0,0,
MASSACHUSETTS,0,0,0,
MICHIGAN,0,0,0,
MISSISSIPPI,0,0,0,
MISSOURI,0,0,0,
MONTANA,0,0,0,
NEBRASKA,0,0,0,
NORTH DAKOTA,0,0,0,
OKLAHOMA,0,0,0,
OREGON,0,0,0,
RHODE ISLAND,0,0,0,
TENNESSEE,0,0,0,
TEXAS,0,0,0,
UTAH,0,0,0,
VIRGINIA,0,0,0,
WASHINGTON,0,0,0,
