"State","Cheese_Produced","Milk_Produced","Yogurt_Produced"
CALIFORNIA,2460538000,41787000000,377839000
IDAHO,989539000,16628000000,
ILLINOIS,68977000,1714000000,
IOWA,389996000,5770000000,
MINNESOTA,811544000,10477000000,
NEW JERSEY,61780000,87000000,
NEW MEXICO,970738000,7148000000,
NEW YORK,843648000,15660000000,793256000
OHIO,255334000,5519000000,
PENNSYLVANIA,450602000,9949000000,
SOUTH DAKOTA,533229000,4161000000,
VERMONT,147814000,2554000000,
WISCONSIN,3520083000,31882000000,
