"State","Cheese_2021","Cheese_2022","Cheese_Change","Milk_2021","Milk_2022","Milk_Change","Larger_Change"
MINNESOTA,772106000,811544000,39438000,10538000000,10477000000,-61000000,Cheese
PENNSYLVANIA,427990000,450602000,22612000,10114000000,9949000000,-165000000,Cheese
CALIFORNIA,2438397000,2460538000,22141000,41861000000,41787000000,-74000000,Cheese
NEW MEXICO,957829000,970738000,12909000,7804000000,7148000000,-656000000,Cheese
OHIO,249341000,255334000,5993000,5640000000,5519000000,-121000000,Cheese
VERMONT,143420000,147814000,4394000,2567000000,2554000000,-13000000,Cheese
ILLINOIS,65211000,68977000,3766000,1770000000,1714000000,-56000000,Cheese
NEW JERSEY,60884000,61780000,896000,90000000,87000000,-3000000,Cheese
RHODE ISLAND,0,0,0,10100000,10000000,-100000,Cheese
CONNECTICUT,0,0,0,435000000,430000000,-5000000,Cheese
ALABAMA,0,0,0,39000000,32000000,-7000000,Cheese
MASSACHUSETTS,0,0,0,195000000,188000000,-7000000,Cheese
NEBRASKA,0,0,0,1423000000,1416000000,-7000000,Cheese
LOUISIANA,0,0,0,126000000,112000000,-14000000,Cheese
TENNESSEE,0,0,0,508000000,494000000,-14000000,Cheese
ARKANSAS,0,0,0,60000000,45000000,-15000000,Cheese
MISSISSIPPI,0,0,0,106000000,90000000,-16000000,Cheese
NORTH DAKOTA,0,0,0,335000000,319000000,-16000000,Cheese
MONTANA,0,0,0,243000000,223000000,-20000000,Cheese
VIRGINIA,0,0,0,1471000000,1424000000,-47000000,Cheese
UTAH,0,0,0,2224000000,2169000000,-55000000,Cheese
MISSOURI,0,0,0,1010000000,941000000,-69000000,Cheese
INDIANA,0,0,0,4539000000,4413000000,-126000000,Cheese
MICHIGAN,0,0,0,11952000000,11740000000,-212000000,Cheese
WASHINGTON,0,0,0,6504000000,6239000000,-265000000,Cheese
IOWA,343703000,389996000,46293000,5538000000,5770000000,232000000,Milk
WISCONSIN,3492789000,3520083000,27294000,31708000000,31882000000,174000000,Milk
SOUTH DAKOTA,518901000,533229000,14328000,3602000000,4161000000,559000000,Milk
TEXAS,0,0,0,15599000000,16524000000,925000000,Milk
KANSAS,0,0,0,4099000000,4143000000,44000000,Milk
COLORADO,0,0,0,5275000000,5314000000,39000000,Milk
KENTUCKY,0,0,0,908000000,926000000,18000000,Milk
OREGON,0,0,0,2622000000,2636000000,14000000,Milk
OKLAHOMA,0,0,0,705000000,715000000,10000000,Milk
NEW YORK,846161000,843648000,-2513000,15540000000,15660000000,120000000,Milk
IDAHO,1004673000,989539000,-15134000,16412000000,16628000000,216000000,Milk
