"State","Milk","Cheese","Yogurt","Egg","Honey","Coffee","Dominant_Commodity"
ARIZONA,4772000000,,,,1035000,,Milk
CALIFORNIA,41787000000,2460538000,377839000,3822600000,11590000,,Milk
COLORADO,5314000000,,,1046100000,1302000,,Milk
CONNECTICUT,430000000,,,,,,Milk
DELAWARE,48100000,,,,,,Milk
FLORIDA,1933000000,,,,7350000,,Milk
IDAHO,16628000000,989539000,,,2726000,,Milk
KANSAS,4143000000,,,,372000,,Milk
MAINE,554000000,,,,230000,,Milk
MARYLAND,842000000,,,599100000,,,Milk
MASSACHUSETTS,188000000,,,47300000,,,Milk
MICHIGAN,11740000000,,,5062200000,3362000,,Milk
MINNESOTA,10477000000,811544000,,2626900000,5202000,,Milk
NEVADA,794000000,,,,,,Milk
NEW HAMPSHIRE,219000000,,,,,,Milk
NEW JERSEY,87000000,61780000,,,624000,,Milk
NEW MEXICO,7148000000,970738000,,,,,Milk
NEW YORK,15660000000,843648000,793256000,1768400000,2862000,,Milk
NORTH DAKOTA,319000000,,,,31200000,,Milk
OKLAHOMA,715000000,,,570600000,,,Milk
OREGON,2636000000,,,628000000,3404000,,Milk
PENNSYLVANIA,9949000000,450602000,,8339900000,1058000,,Milk
RHODE ISLAND,10000000,,,,,,Milk
SOUTH DAKOTA,4161000000,533229000,,592500000,7215000,,Milk
TENNESSEE,494000000,,,366000000,423000,,Milk
TEXAS,16524000000,,,6621800000,8321000,,Milk
UTAH,2169000000,,,1752600000,1196000,,Milk
VERMONT,2554000000,147814000,,55500000,282000,,Milk
VIRGINIA,1424000000,,,743000000,266000,,Milk
WASHINGTON,6239000000,,,2052600000,2752000,,Milk
WISCONSIN,31882000000,3520083000,,1798000000,2915000,,Milk
WYOMING,239600000,,,,1350000,,Milk
ALABAMA,32000000,,,2611100000,400000,,Egg
ARKANSAS,45000000,,,4151100000,1120000,,Egg
GEORGIA,2028000000,,,5202500000,3296000,,Egg
ILLINOIS,1714000000,68977000,,1860200000,470000,,Egg
INDIANA,4413000000,,,10799000000,567000,,Egg
IOWA,5770000000,389996000,,12197600000,2448000,,Egg
KENTUCKY,926000000,,,1477300000,252000,,Egg
LOUISIANA,112000000,,,501500000,2562000,,Egg
MISSISSIPPI,90000000,,,1451300000,1995000,,Egg
MISSOURI,941000000,,,4103000000,328000,,Egg
MONTANA,223000000,,,389000000,7503000,,Egg
NEBRASKA,1416000000,,,1990000000,1496000,,Egg
NORTH CAROLINA,912000000,,,4066500000,507000,,Egg
OHIO,5519000000,255334000,,11773400000,1254000,,Egg
SOUTH CAROLINA,161000000,,,990900000,507000,,Egg
WEST VIRGINIA,75000000,,,306300000,273000,,Egg
ALASKA,,,,,,,No Data
HAWAII,,,,,,,No Data
