"State","Milk","Milk_Share","Cheese","Cheese_Share","Yogurt","Yogurt_Share","Egg","Egg_Share","Honey","Honey_Share","Coffee","Coffee_Share","Dominant_Commodity"
MINNESOTA,10477000000,4.626389362969544,811544000,5.770866703051141,,,2626900000,2.39868656182172,5202000,4.15060918687316,,,Cheese
NEW MEXICO,7148000000,3.156383618068751,970738000,6.90289078791348,,,,,,,,,Cheese
WISCONSIN,31882000000,14.078318762068818,3520083000,25.031211834079688,,,1798000000,1.6417977228502996,2915000,2.3258411725750214,,,Cheese
ARIZONA,4772000000,2.1071995838589923,,,,,,,1035000,0.8258132465232065,,,Milk
COLORADO,5314000000,2.346533652268794,,,,,1046100000,0.9552194648908223,1302000,1.0388491275103526,,,Milk
CONNECTICUT,430000000,0.1898775819487357,,,,,,,,,,,Milk
DELAWARE,48100000,0.021239794631939972,,,,,,,,,,,Milk
IDAHO,16628000000,7.342521936380412,989539000,7.0365841734650525,,,,,2726000,2.1750404927751315,,,Milk
KANSAS,4143000000,1.8294484232874697,,,,,,,372000,0.2968140364315293,,,Milk
MAINE,554000000,0.2446329776734874,,,,,,,230000,0.18351405478293478,,,Milk
MASSACHUSETTS,188000000,0.08301624513107514,,,,,47300000,0.043190785478764836,,,,,Milk
MICHIGAN,11740000000,5.184099562972459,,,,,5062200000,4.622418483099437,3362000,2.6824967486096813,,,Milk
NEVADA,794000000,0.35061116294720035,,,,,,,,,,,Milk
NEW HAMPSHIRE,219000000,0.09670509406226306,,,,,,,,,,,Milk
RHODE ISLAND,10000000,0.004415757719738039,,,,,,,,,,,Milk
TEXAS,16524000000,7.296598056095137,,,,,6621800000,6.0465273421413315,8321000,6.639219347168697,,,Milk
VERMONT,2554000000,1.1277845216210953,147814000,1.0511012229094188,,,55500000,0.050678405794322375,282000,0.2250041889077722,,,Milk
WASHINGTON,6239000000,2.754991241344563,,,,,2052600000,1.874279202404074,2752000,2.19578555983755,,,Milk
CALIFORNIA,41787000000,18.452126783469346,2460538000,17.496816951135177,377839000,32.26373607606556,3822600000,3.4905094412500306,11590000,9.247512586670496,,,Yogurt
NEW YORK,15660000000,6.91507658910977,843648000,5.999157349811826,793256000,67.73626392393443,1768400000,1.6147692397599944,2862000,2.2835531512554756,,,Yogurt
ALABAMA,32000000,0.014130424703161726,,,,,2611100000,2.3842591958478407,400000,0.31915487788336483,,,Egg
ARKANSAS,45000000,0.019870909738821177,,,,,4151100000,3.7904708160866956,1120000,0.8936336580734215,,,Egg
GEORGIA,2028000000,0.8955156655628744,,,,,5202500000,4.750529840449769,3296000,2.6298361937589263,,,Egg
ILLINOIS,1714000000,0.7568608731631,68977000,0.490493519237846,,,1860200000,1.6985940623170899,470000,0.3750069815129537,,,Egg
INDIANA,4413000000,1.9486738817203968,,,,,10799000000,9.86083070581779,567000,0.45240203939966966,,,Egg
IOWA,5770000000,2.547892204288849,389996000,2.7732506564316077,,,12197600000,11.137926531834713,2448000,1.9532278526461928,,,Egg
KENTUCKY,926000000,0.40889916484774247,,,,,1477300000,1.3489587185577017,252000,0.20106757306651984,,,Egg
MARYLAND,842000000,0.37180680000194294,,,,,599100000,0.5470528452500637,,,,,Egg
MISSOURI,941000000,0.41552280142734954,,,,,4103000000,3.7465495310649497,328000,0.2617069998643592,,,Egg
NEBRASKA,1416000000,0.6252712931149064,,,,,1990000000,1.8171176131657933,1496000,1.1936392432837846,,,Egg
NORTH CAROLINA,912000000,0.4027171040401092,,,,,4066500000,3.713220489416431,507000,0.40452880771716493,,,Egg
OHIO,5519000000,2.437056685523424,255334000,1.8156729379514356,,,11773400000,10.750579149168919,1254000,1.0005505421643488,,,Egg
OKLAHOMA,715000000,0.3157266769612698,,,,,570600000,0.5210287990313576,,,,,Egg
PENNSYLVANIA,9949000000,4.393237355367376,450602000,3.204218228621307,,,8339900000,7.615366423136382,1058000,0.8441646520015,,,Egg
SOUTH CAROLINA,161000000,0.07109369928778243,,,,,990900000,0.9048149964251179,507000,0.40452880771716493,,,Egg
UTAH,2169000000,0.9577778494111808,,,,,1752600000,1.6003418737861153,1196000,0.954273084871261,,,Egg
VIRGINIA,1424000000,0.6288038992906968,,,,,743000000,0.6784514505438113,266000,0.21223799379243763,,,Egg
WEST VIRGINIA,75000000,0.033118182898035295,,,,,306300000,0.27969001251893594,273000,0.21782320415539652,,,Egg
FLORIDA,1933000000,0.853565967225363,,,,,,,7350000,5.864470881106829,,,Honey
LOUISIANA,112000000,0.04945648646106604,,,,,501500000,0.45793190100635445,2562000,2.0441869928429517,,,Honey
MISSISSIPPI,90000000,0.039741819477642354,,,,,1451300000,1.325217483410812,1995000,1.5917849534432822,,,Honey
MONTANA,223000000,0.09847139715015828,,,,,389000000,0.35520540277461987,7503000,5.986547621897216,,,Honey
NEW JERSEY,87000000,0.03841709216172094,61780000,0.43931585337886725,,,,,624000,0.49788160949804916,,,Honey
NORTH DAKOTA,319000000,0.14086267125964347,,,,,,,31200000,24.89408047490246,,,Honey
OREGON,2636000000,1.1639937349229472,,,,,628000000,0.5734421412402604,3404000,2.716008010787435,,,Honey
SOUTH DAKOTA,4161000000,1.8373967871829984,533229000,3.7917765163703465,,,592500000,0.5410262240204686,7215000,5.756756109821193,,,Honey
TENNESSEE,494000000,0.21813843135505914,,,,,366000000,0.3342035409139097,423000,0.33750628336165833,,,Honey
WYOMING,239600000,0.10580155496492342,,,,,,,1350000,1.0771477128563565,,,Honey
ALASKA,,,,,,,,,,,,,No Data
HAWAII,,,,,,,,,,,,,No Data
